"Treatment","Crop","MD","Trap","Date","total_now","males","prop_males","attractant","phero_lure"
"Ppo","Alm","Yes",114,2017-08-09,10,7,0.7,"PPO","No pheromone lure"
"Ppo","Alm","Yes",114,2017-08-15,13,9,0.692307692307692,"PPO","No pheromone lure"
"Ppo","Alm","Yes",114,2017-09-07,6,4,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Alm","Yes",125,2017-06-15,2,0,0,"PPO","No pheromone lure"
"Ppo","Alm","Yes",125,2017-06-23,7,5,0.714285714285714,"PPO","No pheromone lure"
"Ppo","Alm","Yes",125,2017-06-29,16,11,0.6875,"PPO","No pheromone lure"
"Ppo","Alm","Yes",125,2017-07-05,10,9,0.9,"PPO","No pheromone lure"
"Ppo","Alm","Yes",125,2017-07-14,6,2,0.333333333333333,"PPO","No pheromone lure"
"Ppo","Alm","Yes",125,2017-07-18,8,5,0.625,"PPO","No pheromone lure"
"Ppo","Alm","Yes",125,2017-08-09,12,8,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Alm","Yes",125,2017-08-15,31,28,0.903225806451613,"PPO","No pheromone lure"
"Ppo","Alm","Yes",125,2017-09-07,9,6,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Alm","Yes",135,2017-06-15,3,2,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Alm","Yes",135,2017-06-23,15,11,0.733333333333333,"PPO","No pheromone lure"
"Ppo","Alm","Yes",135,2017-06-29,9,6,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Alm","Yes",135,2017-07-05,8,5,0.625,"PPO","No pheromone lure"
"Ppo","Alm","Yes",135,2017-07-14,3,0,0,"PPO","No pheromone lure"
"Ppo","Alm","Yes",135,2017-07-18,2,1,0.5,"PPO","No pheromone lure"
"Ppo","Alm","Yes",135,2017-08-09,13,9,0.692307692307692,"PPO","No pheromone lure"
"Ppo","Alm","Yes",135,2017-08-15,48,37,0.770833333333333,"PPO","No pheromone lure"
"Ppo","Alm","Yes",135,2017-09-07,14,12,0.857142857142857,"PPO","No pheromone lure"
"Ppo","Alm","Yes",143,2017-06-15,4,3,0.75,"PPO","No pheromone lure"
"Ppo","Alm","Yes",143,2017-06-29,11,6,0.545454545454545,"PPO","No pheromone lure"
"Ppo","Alm","Yes",143,2017-07-05,4,3,0.75,"PPO","No pheromone lure"
"Ppo","Alm","Yes",143,2017-07-14,2,1,0.5,"PPO","No pheromone lure"
"Ppo","Alm","Yes",143,2017-07-18,5,3,0.6,"PPO","No pheromone lure"
"Ppo","Alm","Yes",143,2017-08-09,6,4,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Alm","Yes",143,2017-08-15,12,9,0.75,"PPO","No pheromone lure"
"Ppo","Alm","Yes",143,2017-09-07,6,5,0.833333333333333,"PPO","No pheromone lure"
"Ppo","Alm","Yes",155,2017-06-15,4,3,0.75,"PPO","No pheromone lure"
"Ppo","Alm","Yes",155,2017-06-23,3,1,0.333333333333333,"PPO","No pheromone lure"
"Ppo","Alm","Yes",155,2017-07-05,2,2,1,"PPO","No pheromone lure"
"Ppo","Alm","Yes",155,2017-07-14,4,3,0.75,"PPO","No pheromone lure"
"Ppo","Alm","Yes",155,2017-07-18,8,5,0.625,"PPO","No pheromone lure"
"Ppo","Alm","Yes",155,2017-08-02,2,1,0.5,"PPO","No pheromone lure"
"Ppo","Alm","Yes",155,2017-08-09,4,2,0.5,"PPO","No pheromone lure"
"Ppo","Alm","Yes",155,2017-08-15,8,5,0.625,"PPO","No pheromone lure"
"Ppo","Alm","Yes",155,2017-09-07,6,5,0.833333333333333,"PPO","No pheromone lure"
"Ppo","Alm","Yes",162,2017-06-15,1,1,1,"PPO","No pheromone lure"
"Ppo","Alm","Yes",162,2017-06-23,15,11,0.733333333333333,"PPO","No pheromone lure"
"Ppo","Alm","Yes",162,2017-06-29,13,9,0.692307692307692,"PPO","No pheromone lure"
"Ppo","Alm","Yes",162,2017-08-09,2,1,0.5,"PPO","No pheromone lure"
"Ppo","Alm","Yes",162,2017-08-15,16,11,0.6875,"PPO","No pheromone lure"
"Ppo","Alm","Yes",162,2017-09-07,5,4,0.8,"PPO","No pheromone lure"
"Ppo","Alm","Yes",174,2017-06-15,4,1,0.25,"PPO","No pheromone lure"
"Ppo","Alm","Yes",174,2017-06-23,7,5,0.714285714285714,"PPO","No pheromone lure"
"Ppo","Alm","Yes",174,2017-06-29,11,5,0.454545454545455,"PPO","No pheromone lure"
"Ppo","Alm","Yes",174,2017-07-05,9,8,0.888888888888889,"PPO","No pheromone lure"
"Ppo","Alm","Yes",174,2017-07-14,2,2,1,"PPO","No pheromone lure"
"Ppo","Alm","Yes",174,2017-07-18,3,2,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Alm","Yes",174,2017-08-09,3,2,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Alm","Yes",174,2017-08-15,9,5,0.555555555555556,"PPO","No pheromone lure"
"Ppo","Alm","Yes",174,2017-09-07,6,3,0.5,"PPO","No pheromone lure"
"Ppo","Alm","Yes",182,2017-06-15,1,1,1,"PPO","No pheromone lure"
"Ppo","Alm","Yes",182,2017-06-23,5,3,0.6,"PPO","No pheromone lure"
"Ppo","Alm","Yes",182,2017-06-29,7,5,0.714285714285714,"PPO","No pheromone lure"
"Ppo","Alm","Yes",182,2017-07-05,2,2,1,"PPO","No pheromone lure"
"Ppo","Alm","Yes",182,2017-07-14,2,1,0.5,"PPO","No pheromone lure"
"Ppo","Alm","Yes",182,2017-08-15,7,4,0.571428571428571,"PPO","No pheromone lure"
"Ppo","Alm","Yes",182,2017-09-07,1,1,1,"PPO","No pheromone lure"
"Ppo","Pis","No",413,2017-06-15,1,0,0,"PPO","No pheromone lure"
"Ppo","Pis","No",413,2017-06-22,8,7,0.875,"PPO","No pheromone lure"
"Ppo","Pis","No",413,2017-06-28,13,12,0.923076923076923,"PPO","No pheromone lure"
"Ppo","Pis","No",413,2017-07-06,11,9,0.818181818181818,"PPO","No pheromone lure"
"Ppo","Pis","No",413,2017-07-12,15,11,0.733333333333333,"PPO","No pheromone lure"
"Ppo","Pis","No",413,2017-07-20,3,3,1,"PPO","No pheromone lure"
"Ppo","Pis","No",413,2017-08-01,4,2,0.5,"PPO","No pheromone lure"
"Ppo","Pis","No",413,2017-08-17,11,7,0.636363636363636,"PPO","No pheromone lure"
"Ppo","Pis","No",413,2017-08-24,20,14,0.7,"PPO","No pheromone lure"
"Ppo","Pis","No",423,2017-06-15,2,1,0.5,"PPO","No pheromone lure"
"Ppo","Pis","No",423,2017-06-22,8,8,1,"PPO","No pheromone lure"
"Ppo","Pis","No",423,2017-06-28,15,14,0.933333333333333,"PPO","No pheromone lure"
"Ppo","Pis","No",423,2017-07-06,6,4,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Pis","No",423,2017-07-12,10,8,0.8,"PPO","No pheromone lure"
"Ppo","Pis","No",423,2017-07-20,3,2,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Pis","No",423,2017-08-01,2,2,1,"PPO","No pheromone lure"
"Ppo","Pis","No",423,2017-08-17,9,7,0.777777777777778,"PPO","No pheromone lure"
"Ppo","Pis","No",423,2017-08-24,26,17,0.653846153846154,"PPO","No pheromone lure"
"Ppo","Pis","No",431,2017-06-15,4,3,0.75,"PPO","No pheromone lure"
"Ppo","Pis","No",431,2017-06-28,17,13,0.764705882352941,"PPO","No pheromone lure"
"Ppo","Pis","No",431,2017-07-06,6,5,0.833333333333333,"PPO","No pheromone lure"
"Ppo","Pis","No",431,2017-07-12,18,14,0.777777777777778,"PPO","No pheromone lure"
"Ppo","Pis","No",431,2017-07-20,5,5,1,"PPO","No pheromone lure"
"Ppo","Pis","No",431,2017-08-01,1,1,1,"PPO","No pheromone lure"
"Ppo","Pis","No",431,2017-08-17,8,5,0.625,"PPO","No pheromone lure"
