"TrtCode","Treatment","Rep","TrapID","Site","Crop","MD","Count","Male","EndDate","StartDate","prop_males","attractant","phero_lure"
"B","Ppo","2",424,"Kettleman","Pis","No",14,13,2018-04-27,2018-04-13,0.928571428571429,"PPO","No pheromone lure"
"B","Ppo","3",431,"Kettleman","Pis","No",27,25,2018-04-27,2018-04-13,0.925925925925926,"PPO","No pheromone lure"
"B","Ppo","4",445,"Kettleman","Pis","No",20,18,2018-04-27,2018-04-13,0.9,"PPO","No pheromone lure"
"B","Ppo","5",452,"Kettleman","Pis","No",12,10,2018-04-27,2018-04-13,0.833333333333333,"PPO","No pheromone lure"
"B","Ppo","6",462,"Kettleman","Pis","No",29,23,2018-04-27,2018-04-13,0.793103448275862,"PPO","No pheromone lure"
"B","Ppo","7",475,"Kettleman","Pis","No",44,39,2018-04-27,2018-04-13,0.886363636363636,"PPO","No pheromone lure"
"B","Ppo","8",481,"Kettleman","Pis","No",30,27,2018-04-27,2018-04-13,0.9,"PPO","No pheromone lure"
"B","Ppo","1",412,"Kettleman","Pis","No",9,9,2018-05-07,2018-04-27,1,"PPO","No pheromone lure"
"B","Ppo","2",424,"Kettleman","Pis","No",5,5,2018-05-07,2018-04-27,1,"PPO","No pheromone lure"
"B","Ppo","3",431,"Kettleman","Pis","No",14,13,2018-05-07,2018-04-27,0.928571428571429,"PPO","No pheromone lure"
"B","Ppo","4",445,"Kettleman","Pis","No",20,18,2018-05-07,2018-04-27,0.9,"PPO","No pheromone lure"
"B","Ppo","5",452,"Kettleman","Pis","No",14,11,2018-05-07,2018-04-27,0.785714285714286,"PPO","No pheromone lure"
"B","Ppo","6",462,"Kettleman","Pis","No",9,8,2018-05-07,2018-04-27,0.888888888888889,"PPO","No pheromone lure"
"B","Ppo","7",475,"Kettleman","Pis","No",16,14,2018-05-07,2018-04-27,0.875,"PPO","No pheromone lure"
"B","Ppo","8",481,"Kettleman","Pis","No",18,15,2018-05-07,2018-04-27,0.833333333333333,"PPO","No pheromone lure"
"B","Ppo","1",412,"Kettleman","Pis","No",5,4,2018-05-17,2018-05-04,0.8,"PPO","No pheromone lure"
"B","Ppo","2",424,"Kettleman","Pis","No",2,2,2018-05-17,2018-05-04,1,"PPO","No pheromone lure"
"B","Ppo","3",431,"Kettleman","Pis","No",16,13,2018-05-17,2018-05-04,0.8125,"PPO","No pheromone lure"
"B","Ppo","4",445,"Kettleman","Pis","No",6,5,2018-05-17,2018-05-04,0.833333333333333,"PPO","No pheromone lure"
"B","Ppo","5",452,"Kettleman","Pis","No",18,15,2018-05-17,2018-05-04,0.833333333333333,"PPO","No pheromone lure"
"B","Ppo","6",462,"Kettleman","Pis","No",9,5,2018-05-17,2018-05-04,0.555555555555556,"PPO","No pheromone lure"
"B","Ppo","7",475,"Kettleman","Pis","No",12,9,2018-05-17,2018-05-04,0.75,"PPO","No pheromone lure"
"B","Ppo","8",481,"Kettleman","Pis","No",13,8,2018-05-17,2018-05-04,0.615384615384615,"PPO","No pheromone lure"
"B","Ppo","1",412,"Kettleman","Pis","No",4,4,2018-05-24,2018-05-17,1,"PPO","No pheromone lure"
"B","Ppo","2",424,"Kettleman","Pis","No",1,1,2018-05-24,2018-05-17,1,"PPO","No pheromone lure"
"B","Ppo","3",431,"Kettleman","Pis","No",3,3,2018-05-24,2018-05-17,1,"PPO","No pheromone lure"
